Subject,Predicate,Object
https://w3id.org/traits.build/traits.build,<http://www.w3.org/2004/02/skos/core#prefLabel>,<https://w3id.org/traits.build/traits database>
https://w3id.org/traits.build/traits.build,<http://semanticscience.org/resource/SIO_000602>,<http://semanticscience.org/resource/SIO_000750>
https://w3id.org/traits.build/traits.build,<http://purl.org/dc/terms/description>,A database containing 13 relational tables and lists.
https://w3id.org/traits.build/traits.build$traits,<http://www.w3.org/2004/02/skos/core#prefLabel>,<https://w3id.org/traits.build/traits table>
https://w3id.org/traits.build/traits.build$traits,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://terminologies.gfbio.org/terms/ETS/Traitdata>
https://w3id.org/traits.build/traits.build$traits,<http://semanticscience.org/resource/SIO_000602>,<http://semanticscience.org/resource/SIO_000754>
https://w3id.org/traits.build/traits.build$traits,<http://www.w3.org/2004/02/skos/core#relatedMatch>,<http://terminologies.gfbio.org/terms/ETS/MeasurementOrFact>
https://w3id.org/traits.build/traits.build$traits,<http://www.w3.org/2004/02/skos/core#relatedMatch>,<http://terminologies.gfbio.org/terms/ETS/Occurrence>
https://w3id.org/traits.build/traits.build$traits,<http://purl.org/dc/terms/description>,A table containing measurements of traits.
https://w3id.org/traits.build/traits.build$traits,<http://www.w3.org/2000/01/rdf-schema#comment>,Includes information that must be recorded at the Measurement or Observation level.
https://w3id.org/traits.build/traits.build$contexts,<http://www.w3.org/2004/02/skos/core#prefLabel>,<https://w3id.org/traits.build/contexts table>
https://w3id.org/traits.build/traits.build$contexts,<http://semanticscience.org/resource/SIO_000602>,<http://semanticscience.org/resource/SIO_000754>
https://w3id.org/traits.build/traits.build$contexts,<http://purl.org/dc/terms/description>,"A table containing observations of contextual characteristics associated with information in `traits`. Cross referencing between the two dataframes is possible using combinations of the variables `dataset_id`, `link_id`, and `link_vals`."
https://w3id.org/traits.build/traits.build$locations,<http://www.w3.org/2004/02/skos/core#prefLabel>,<https://w3id.org/traits.build/locations table>
https://w3id.org/traits.build/traits.build$locations,<http://semanticscience.org/resource/SIO_000602>,<http://semanticscience.org/resource/SIO_000754>
https://w3id.org/traits.build/traits.build$locations,<http://www.w3.org/2004/02/skos/core#relatedMatch>,<http://terminologies.gfbio.org/terms/ETS/Occurrence>
https://w3id.org/traits.build/traits.build$locations,<http://purl.org/dc/terms/description>,"A table containing observations of location/site characteristics associated with information in `traits`. Cross referencing between the two dataframes is possible using combinations of the variables `dataset_id`, `location_name`."
https://w3id.org/traits.build/traits.build$locations,<http://www.w3.org/2000/01/rdf-schema#comment>,Includes information about Location properties.
https://w3id.org/traits.build/traits.build$methods,<http://www.w3.org/2004/02/skos/core#prefLabel>,<https://w3id.org/traits.build/methods table>
https://w3id.org/traits.build/traits.build$methods,<http://semanticscience.org/resource/SIO_000602>,<http://semanticscience.org/resource/SIO_000754>
https://w3id.org/traits.build/traits.build$methods,<http://www.w3.org/2004/02/skos/core#relatedMatch>,<http://terminologies.gfbio.org/terms/ETS/MeasurementOrFact>
https://w3id.org/traits.build/traits.build$methods,<http://purl.org/dc/terms/description>,"A table containing details on methods with which data were collected, including time frame and source. Cross referencing with the `traits` table is possible using combinations of the variables `dataset_id`, `trait_name`."
https://w3id.org/traits.build/traits.build$taxa,<http://www.w3.org/2004/02/skos/core#prefLabel>,<https://w3id.org/traits.build/taxa table>
https://w3id.org/traits.build/traits.build$taxa,<http://www.w3.org/2004/02/skos/core#exactMatch>,<http://terminologies.gfbio.org/terms/ETS/Taxon>
https://w3id.org/traits.build/traits.build$taxa,<http://semanticscience.org/resource/SIO_000602>,<http://semanticscience.org/resource/SIO_000754>
https://w3id.org/traits.build/traits.build$taxa,<http://purl.org/dc/terms/description>,"A table containing details on taxa associated with information in `traits`. Whenever possible, this information is sourced from curated taxon lists that include identifiers for each taxon. The information compiled in this table is released under a CC-BY3 license. Cross referencing between the two dataframes is possible using combinations of the variable `taxon_name`."
